iter	Passed	Remaining
409	4266	6139
410	4277	6130
411	4287	6119
412	4297	6107
413	4307	6097
414	4317	6085
415	4328	6075
416	4338	6066
417	4349	6055
418	4362	6048
419	4369	6034
420	4377	6019
421	4387	6009
422	4398	5999
423	4408	5988
424	4418	5977
425	4427	5965
426	4437	5954
427	4448	5945
428	4459	5936
429	4470	5925
430	4479	5914
431	4488	5902
432	4498	5890
433	4509	5880
434	4519	5869
435	4529	5859
436	4539	5848
437	4550	5838
438	4560	5827
439	4568	5814
440	4578	5803
441	4588	5793
442	4600	5784
443	4611	5774
444	4621	5764
445	4632	5753
446	4644	5745
447	4655	5736
448	4665	5725
449	4676	5715
450	4686	5704
451	4697	5695
452	4709	5686
453	4718	5675
454	4729	5664
455	4739	5654
456	4750	5644
457	4760	5633
458	4771	5623
459	4781	5612
460	4791	5601
461	4801	5591
462	4811	5580
463	4821	5569
464	4832	5560
465	4842	5549
466	4852	5538
467	4865	5530
468	4875	5519
469	4885	5508
470	4895	5498
471	4904	5486
472	4915	5476
473	4925	5466
474	4935	5455
475	4945	5443
476	4954	5432
477	4966	5423
478	4975	5411
479	4986	5401
480	4995	5390
481	5006	5380
482	5016	5370
483	5026	5359
484	5037	5348
485	5049	5340
486	5058	5328
487	5069	5319
488	5080	5309
489	5090	5298
490	5101	5288
491	5111	5277
492	5121	5267
493	5131	5255
494	5142	5245
495	5151	5234
496	5162	5224
497	5172	5213
498	5181	5202
499	5190	5190
500	5201	5180
501	5211	5169
502	5221	5159
503	5232	5149
504	5243	5139
505	5254	5129
506	5263	5118
507	5274	5108
508	5286	5099
509	5295	5087
510	5306	5078
511	5317	5068
512	5327	5057
513	5338	5047
514	5348	5037
515	5359	5027
516	5369	5016
517	5379	5005
518	5390	4995
519	5399	4983
520	5410	4974
521	5418	4961
522	5428	4951
523	5439	4941
524	5446	4928
525	5456	4916
526	5465	4905
527	5474	4894
528	5485	4884
529	5495	4873
530	5507	4864
531	5518	4854
532	5528	4843
533	5537	4832
534	5547	4821
535	5558	4811
536	5568	4801
537	5579	4791
538	5590	4781
539	5600	4770
540	5611	4760
541	5623	4752
542	5634	4742
543	5645	4732
544	5657	4723
545	5668	4713
546	5678	4702
547	5687	4691
548	5697	4680
549	5707	4669
550	5718	4659
551	5730	4651
552	5742	4641
553	5752	4631
554	5763	4621
555	5774	4611
556	5785	4601
557	5794	4589
558	5804	4579
559	5814	4568
560	5825	4558
561	5833	4546
562	5843	4535
563	5854	4526
564	5865	4515
565	5876	4505
566	5885	4494
567	5895	4484
568	5905	4473
569	5915	4462
570	5927	4453
571	5938	4443
572	5948	4433
573	5959	4423
574	5970	4413
575	5981	4403
576	5991	4392
577	6002	4382
578	6013	4372
579	6023	4361
580	6033	4351
581	6044	4341
582	6054	4330
583	6065	4320
584	6075	4309
585	6084	4298
586	6100	4292
587	6109	4280
588	6120	4270
589	6130	4260
590	6140	4249
591	6151	4239
592	6162	4229
593	6173	4219
594	6184	4209
595	6194	4199
596	6205	4188
597	6212	4176
598	6222	4165
599	6233	4155
600	6243	4145
601	6254	4135
602	6264	4124
603	6273	4112
604	6283	4102
605	6293	4091
606	6303	4081
607	6313	4070
608	6323	4059
609	6333	4049
610	6344	4039
611	6357	4030
612	6370	4021
613	6381	4012
614	6393	4002
615	6402	3991
616	6413	3980
617	6423	3970
618	6434	3960
619	6445	3950
620	6455	3939
621	6465	3929
622	6474	3918
623	6485	3908
624	6495	3897
625	6506	3887
626	6517	3877
627	6528	3866
628	6536	3855
629	6545	3844
630	6556	3834
631	6567	3824
632	6577	3813
633	6588	3803
634	6599	3793
635	6609	3782
636	6620	3772
637	6631	3762
638	6643	3753
639	6651	3741
640	6661	3730
641	6672	3720
642	6683	3710
643	6694	3700
644	6704	3689
645	6714	3679
646	6725	3669
647	6736	3659
648	6746	3648
649	6757	3638
650	6765	3627
651	6776	3617
652	6787	3606
653	6797	3596
654	6807	3585
655	6817	3575
656	6827	3564
657	6837	3553
658	6847	3543
659	6856	3532
660	6866	3521
661	6877	3511
662	6886	3500
663	6896	3489
664	6906	3479
665	6916	3468
666	6929	3459
667	6939	3449
668	6949	3438
669	6958	3427
670	6968	3416
671	6978	3406
672	6990	3396
673	6999	3385
674	7008	3374
675	7018	3364
676	7029	3353
677	7036	3341
678	7046	3331
